               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10982,            0.027755,                   0,            0.001037,             0.31111,          0.00097495,          0.00024841,            0.085768,            0.016695,                   0,              0.0757,              0.0027,              0.0027
                   1,            0.089447,            0.022302,                   0,           0.0025926,             0.77778,           0.0067141,           0.0014498,            0.073855,            0.011882,                   0,            0.050446,           0.0054456,           0.0054456
                   2,            0.079608,            0.020786,                   0,            0.002963,             0.88889,            0.030117,            0.007425,            0.073294,             0.01039,                   0,            0.025136,           0.0081357,           0.0081357
                   3,            0.075013,            0.017945,                   0,           0.0031111,             0.93333,             0.23995,            0.067665,             0.07051,           0.0091882,                   0,            0.009703,            0.009703,            0.009703
                   4,            0.070989,            0.017684,                   0,           0.0032593,             0.97778,            0.089862,            0.019807,            0.070635,           0.0089438,                   0,            0.009703,            0.009703,            0.009703
                   5,            0.064711,            0.018246,                   0,             0.11501,             0.66667,             0.40864,             0.10015,            0.060095,           0.0080565,                   0,            0.009604,            0.009604,            0.009604
                   6,             0.05957,            0.018396,                   0,              0.7134,             0.71922,             0.73693,             0.25756,             0.04999,           0.0082792,                   0,            0.009505,            0.009505,            0.009505
                   7,            0.054419,            0.016724,                   0,             0.76065,             0.77688,             0.77067,             0.31275,            0.044008,           0.0083944,                   0,            0.009406,            0.009406,            0.009406
                   8,            0.049357,            0.017191,                   0,             0.83055,                 0.8,             0.88905,              0.2882,            0.044113,           0.0074885,                   0,            0.009307,            0.009307,            0.009307
                   9,            0.048754,            0.016371,                   0,             0.91929,             0.75939,             0.88535,             0.39809,            0.037438,           0.0072811,                   0,            0.009208,            0.009208,            0.009208
                  10,            0.046414,            0.015291,                   0,             0.78731,             0.74045,             0.84093,             0.31107,             0.04285,           0.0063206,                   0,            0.009109,            0.009109,            0.009109
                  11,            0.045468,            0.013569,                   0,             0.74711,             0.72228,             0.73525,             0.27081,            0.041336,            0.006144,                   0,             0.00901,             0.00901,             0.00901
                  12,              0.0419,            0.013786,                   0,             0.64041,                 0.8,             0.64355,             0.27057,            0.039494,           0.0058773,                   0,            0.008911,            0.008911,            0.008911
                  13,            0.044205,            0.012931,                   0,             0.93792,             0.84444,             0.94611,             0.42579,            0.038196,           0.0055432,                   0,            0.008812,            0.008812,            0.008812
                  14,            0.041749,            0.012344,                   0,              0.9955,             0.88889,             0.96732,             0.58332,            0.032231,           0.0051299,                   0,            0.008713,            0.008713,            0.008713
                  15,            0.042014,            0.011061,                   0,             0.89853,             0.86667,             0.94474,             0.38486,            0.042592,           0.0048235,                   0,            0.008614,            0.008614,            0.008614
